gender,age,income,course,scheme
M,42,2888,5,1
F,46,3205,3,2
M,32,4310,2,3
M,33,6725,5,4
F,46,4897,4,1
F,21,6490,2,5
M,38,3132,1,3
F,35,2828,3,3
F,45,6796,4,2
F,49,2689,2,5
M,40,5227,3,5
F,49,5252,1,5
F,45,6126,3,4
F,30,6039,5,5
F,19,3279,5,4
F,45,5956,3,4
F,47,2301,1,1
F,31,5963,3,5
F,43,6206,5,5
M,37,3950,4,4
F,40,6528,4,4
F,18,3923,3,4
M,36,5503,4,2
F,42,6886,1,3
F,36,3183,5,3
M,46,3289,1,5
M,33,3036,4,3
F,25,6675,1,3
M,29,3709,3,1
F,38,5489,5,5
M,20,4846,1,4
M,45,3686,2,4
F,22,2090,1,1
F,47,6371,1,3
F,24,2947,1,3
M,29,2803,1,5
M,45,5744,5,2
M,34,6292,2,5
F,41,2781,4,1
M,24,5253,2,3
M,23,2127,3,1
M,27,5803,2,2
M,38,3882,2,3
F,20,6592,3,2
M,47,6186,5,3
F,19,4344,3,3
M,40,4880,1,4
M,33,3012,4,3
M,20,5708,1,5
F,28,3139,1,5
M,35,5981,4,5
F,44,6688,2,4
M,35,4606,1,2
F,26,3773,2,3
F,32,7000,1,4
F,19,4279,1,3
F,45,6017,3,2
F,32,5308,3,1
F,33,2996,5,5
F,35,5079,5,4
F,21,6073,3,1
M,18,2065,5,1
M,33,6048,5,5
F,24,4237,1,2
M,24,3118,2,3
M,24,6929,4,4
M,40,5376,1,5
M,31,2142,1,5
M,50,2397,1,4
F,48,3029,5,1
M,19,5968,3,4
F,48,4435,1,1
F,48,3189,3,2
M,47,6875,1,4
M,19,2538,5,5
F,43,5311,3,2
M,38,6999,1,2
M,28,3159,4,2
F,23,2827,2,1
F,23,2399,1,3
F,23,3383,3,3
M,28,4755,3,3
M,44,4162,5,4
M,25,2707,3,1
F,28,6476,3,2
F,20,2858,2,4
M,22,6219,3,5
M,49,2296,2,2
M,34,2091,2,4
F,32,6781,2,4
F,21,2817,1,4
M,29,3314,2,2
F,37,5320,3,3
F,23,4556,2,5
M,37,6457,4,1
F,43,3803,1,4
M,33,6969,4,2
F,40,4523,1,3
M,40,6035,3,5
F,18,4821,1,2
F,18,4104,5,1
M,35,3133,5,5
F,44,3712,1,2
F,36,3172,4,5
M,30,6513,2,2
F,25,3795,3,5
M,19,6026,4,5
M,32,5146,1,3
F,39,6524,4,5
M,43,3195,5,1
F,28,5727,5,1
M,34,2085,3,2
M,27,6064,1,2
F,32,2448,4,1
F,26,3902,3,4
F,30,5596,3,2
M,19,5921,5,1
F,30,6559,2,2
M,35,3992,1,4
M,36,6664,3,5
F,33,4153,5,3
F,37,3598,1,1
M,50,4777,1,4
F,42,3278,2,5
F,49,5812,1,3
F,46,5917,2,4
F,18,5821,4,4
F,24,4653,1,1
F,41,6851,2,4
M,38,4715,5,2
M,21,2501,5,5
M,38,5044,3,3
M,31,2973,1,2
F,29,6493,3,2
M,40,6132,3,3
M,18,3824,2,3
F,48,4526,5,4
M,49,2821,1,1
F,49,5824,4,2
M,41,4048,2,2
F,28,6277,5,1
M,20,3810,3,5
F,22,5926,3,3
F,22,6079,3,2
F,34,2327,5,3
F,19,6305,5,2
M,35,2548,1,5
M,21,2450,5,1
F,38,3891,3,5
F,24,5985,3,4
M,32,5976,5,4
F,22,5168,1,2
F,24,6157,2,2
F,35,4387,4,5
M,22,4326,3,1
F,36,4551,1,5
M,38,5077,3,4
F,29,4475,3,2
M,33,6499,2,3
F,24,2601,4,2
M,46,3380,1,3
M,27,6209,2,1
F,33,5669,4,3
F,24,4016,3,1
F,47,5360,2,2
M,39,3506,1,3
F,20,2898,3,4
F,39,6223,3,3
M,33,6603,1,2
F,18,6117,5,4
F,23,5685,3,3
F,30,5231,1,5
M,37,5837,1,3
M,36,4088,3,2
M,37,2953,5,5
M,38,5559,2,2
F,30,4042,5,5
M,35,6659,3,1
F,50,6128,1,2
F,47,2042,1,5
M,30,3393,5,2
M,44,4684,5,2
F,48,2313,2,1
F,20,6988,5,2
F,50,6993,4,3
M,33,5089,1,1
F,31,3219,5,1
M,31,4868,4,5
M,42,6457,2,2
F,31,3875,5,2
F,44,3298,5,4
M,46,5712,2,1
F,44,4259,2,5
M,29,4294,1,2
M,18,2966,2,4
M,28,6029,5,5
F,44,5770,2,4
F,49,3794,2,4
F,44,5729,1,3
M,35,2421,3,4
M,32,3880,1,3
M,48,5152,4,1
F,30,2314,5,1
M,25,5249,1,4
F,33,6710,2,3
F,34,2659,1,5
M,18,2731,5,3
F,28,4204,4,2
M,27,2213,3,4
F,40,6706,5,1
M,34,2032,4,4
F,25,4510,1,5
F,38,2237,5,4
F,46,6796,1,3
M,30,2010,1,3
F,47,3276,1,5
M,30,6782,1,5
F,41,2437,2,2
M,19,6533,3,5
